cycle,train_loss,val_loss,val_accuracy,train_sample_size,test_accuracy,test_loss,average_entropy
1.0,0.9761068538615578,1.4036742043495178,0.501125,4256.0,0.51005,1.3769509205772619,1.282643437385559
2.0,0.95903727475633,1.399182382106781,0.50225,4512.0,0.5091,1.37300079966047,1.2648006081581116
3.0,0.9508107816612961,1.3900657200813293,0.503375,4768.0,0.51555,1.364282639732786,1.2492016553878784
4.0,0.9385430061133804,1.3803476204872132,0.508625,5024.0,0.51955,1.3588879668408897,1.2353869676589966
5.0,0.9045935352643331,1.3780903277397156,0.5102500000000001,5280.0,0.5234,1.3491211288673863,1.1948943138122559
6.0,0.9011161237782825,1.3690224895477296,0.518375,5536.0,0.5273,1.3419471157204574,1.1889621019363403
7.0,0.8819820340825708,1.3666337938308715,0.52075,5792.0,0.5275000000000001,1.3372607396286764,1.1668720841407776
8.0,0.8502429922421773,1.3643990354537965,0.51925,6048.0,0.5333000000000001,1.3308807482385332,1.155435025691986
9.0,0.8433653592760793,1.3708279275894164,0.51925,6304.0,0.5301,1.337578470350071,1.134019672870636
10.0,0.8177626858397228,1.3588114552497863,0.52375,6560.0,0.5378000000000001,1.3242008927141784,1.1029698848724365
11.0,0.7954727688305814,1.3561097168922425,0.525875,6816.0,0.53845,1.3202244305306938,1.0928604006767273
12.0,0.7706919870764961,1.3626088938713075,0.5257499999999999,7072.0,0.5387500000000001,1.327834682669609,1.068658471107483
13.0,0.7546456893458637,1.3534979677200318,0.530125,7328.0,0.5419499999999999,1.3265672992369173,1.0490100979804993
14.0,0.7287109219449481,1.359634422302246,0.532,7584.0,0.5453,1.3284566263863995,1.0269298553466797
15.0,0.7026616758229781,1.3582348165512086,0.536,7840.0,0.54875,1.3255416731925527,0.9973164796829224
